Gene-ID,Gene-Name,ACE1,ACE2,ACE3,ACE4,ACE5
ENSMUSG00000083747,Gm14727,0,0,0,0,0
ENSMUSG00000083748,Gm11662,8,9,6,15,0
ENSMUSG00000083749,Gm13100,0,0,0,0,0
ENSMUSG00000083750,Gm14108,0,0,0,0,0
ENSMUSG00000083751,Gm14534,0,0,0,0,0
ENSMUSG00000083752,Gm12014,0,0,0,0,0
ENSMUSG00000083753,Gm12814,0,0,0,0,0
ENSMUSG00000083754,Gm7803,0,3,0,0,8
ENSMUSG00000083755,Gm14559,0,0,0,0,0
ENSMUSG00000083757,Rps15a-ps4,30,19,30,73,25
ENSMUSG00000083760,Gm14524,0,0,0,0,0
ENSMUSG00000083761,Pgam1-ps1,0,0,0,0,0
ENSMUSG00000083763,Gm9050,0,0,0,0,0
ENSMUSG00000083764,Gm11516,0,0,0,0,0
ENSMUSG00000083766,Gm15335,0,3,0,0,0
ENSMUSG00000083767,Gm11405,4,7,0,8,8
ENSMUSG00000083768,Gm15362,0,0,0,0,0
ENSMUSG00000083769,Gm11689,0,0,0,0,0
ENSMUSG00000083771,Gm15988,8,0,3,8,0
ENSMUSG00000083772,Gm15566,8,7,3,15,0
ENSMUSG00000083773,Gm13394,788,844,494,1045,1055
ENSMUSG00000083774,Gm7180,38,0,0,0,4
ENSMUSG00000083775,Gm14837,0,0,0,0,0
ENSMUSG00000083776,Gm13473,0,0,0,0,0
ENSMUSG00000083777,Gm13361,0,0,0,0,0
ENSMUSG00000083778,Gm15094,0,0,0,0,0
ENSMUSG00000083779,Gm14775,0,0,0,0,0
ENSMUSG00000083780,Gm12728,4,0,6,8,4
ENSMUSG00000083781,Gm14842,0,0,0,0,0
ENSMUSG00000083782,Gm11660,0,3,0,0,0
ENSMUSG00000083783,Gm12739,23,5,6,0,8
ENSMUSG00000083784,Gm14729,0,0,0,0,0
ENSMUSG00000083785,Gm11888,0,0,0,0,0
ENSMUSG00000083786,Rps18-ps2,0,0,0,0,0
ENSMUSG00000083787,Gm11644,0,0,0,0,0
ENSMUSG00000083789,Gm6092,0,3,0,0,0
ENSMUSG00000083791,Gm12721,0,0,0,0,0
ENSMUSG00000083792,Rpl12-ps2,0,7,3,0,0
ENSMUSG00000083793,Gm14274,0,3,0,30,8
ENSMUSG00000083794,Gm16123,8,0,0,0,0
ENSMUSG00000083795,Gm15670,0,7,0,0,0
ENSMUSG00000083796,Gm13369,4,7,0,15,0
ENSMUSG00000083798,Gm14584,105,128,27,51,36
ENSMUSG00000083801,Cyp2j7-ps2,0,0,0,0,0
ENSMUSG00000083803,Gm12455,0,0,0,0,0
ENSMUSG00000083804,Gm13676,0,0,0,0,0
ENSMUSG00000083805,Gm14848,0,0,0,0,0
ENSMUSG00000083806,Gm12131,0,0,0,0,0
ENSMUSG00000083807,Gm13466,0,0,0,0,0
ENSMUSG00000083808,Gm3828,0,3,0,0,0
ENSMUSG00000083809,Gm15110,0,0,0,0,0
ENSMUSG00000083810,Gm14713,0,0,0,0,0
ENSMUSG00000083811,Gm13071,4,9,3,8,8
ENSMUSG00000083812,Gm5054,4,3,0,0,0
ENSMUSG00000083813,Gm15502,0,5,0,15,0
ENSMUSG00000083814,Gm5133,0,0,0,0,0
ENSMUSG00000083815,Gm13435,0,0,0,0,0
ENSMUSG00000083816,Gm13033,67,23,36,30,22
ENSMUSG00000083817,Gm14400,4,0,3,0,0
ENSMUSG00000083818,Gm14908,0,0,0,0,0
ENSMUSG00000083819,Gm11977,0,3,6,0,0
ENSMUSG00000083820,Gm6415,0,3,0,0,0
ENSMUSG00000083821,Gm14631,0,0,0,0,0
ENSMUSG00000083822,Hmgb1-ps5,4,11,3,15,8
ENSMUSG00000083823,Amd-ps1,0,3,3,8,0
ENSMUSG00000083825,Olfr1376-ps1,0,0,0,0,0
ENSMUSG00000083826,Gm13039,4,9,12,8,4
ENSMUSG00000083827,Gm15712,38,17,21,37,18
ENSMUSG00000083828,Gm15006,0,0,0,0,0
ENSMUSG00000083829,Gm2199,0,7,9,8,4
